order_id,order_date,customer_id,product,quantity,price,region
100001,2023-05-28,2008,Monitor,5.0,3884,South
100002,2023-11-23,2342,Mouse,3.0,17622,North
100003,2023-08-05,1397,Mouse,4.0,45709,North
100004,2022-03-19,2344,Mobile,2.0,26862,East
100005,2023-02-27,2951,Mouse,1.0,17920,West
100006,2023-02-02,2001,Headphones,5.0,47368,East
100007,2023-08-24,1268,Keyboard,3.0,44011,East
100008,2024-02-11,2839,Mouse,4.0,9021,West
100009,2023-01-11,1588,Monitor,2.0,11645,West
100010,2023-08-21,2779,Laptop,1.0,32877,North
100011,2023-11-21,1385,Monitor,4.0,9405,North
100012,2022-05-15,2269,Monitor,5.0,20917,West
100013,2022-07-08,2960,Mobile,4.0,20356,East
100014,2022-02-09,1106,Mouse,2.0,40429,East
100016,2023-04-04,2321,Mouse,3.0,3246,West
100017,2023-05-02,1931,Headphones,1.0,38268,South
100018,2023-12-21,2315,Monitor,1.0,49639,South
100019,2022-06-05,2702,Laptop,2.0,9584,West
100021,2024-04-10,2324,Mouse,5.0,34734,North
100022,2023-02-06,2780,Mouse,2.0,3463,East
100023,2024-02-04,1047,Mouse,3.0,32701,East
100024,2023-02-21,2181,Headphones,5.0,43172,West
100025,2024-02-03,1132,Monitor,1.0,14151,East
100026,2023-06-15,1337,Monitor,1.0,17171,South
100027,2023-07-02,1187,Laptop,4.0,18486,West
100028,2022-05-21,1402,Headphones,3.0,20365,West
100029,2022-07-11,1960,Keyboard,1.0,24595,South
100031,2022-04-28,1457,Mobile,4.0,36281,East
100032,2023-02-08,2570,Mobile,1.0,41255,East
100033,2023-02-08,2619,Monitor,4.0,25514,North
100034,2023-01-30,2478,Mouse,3.0,41904,West
100035,2022-05-30,2020,Keyboard,2.0,44547,South
100036,2022-11-24,1318,Monitor,1.0,34580,South
100037,2023-09-16,1868,Mobile,5.0,45632,West
100038,2023-01-01,2624,Keyboard,5.0,28403,West
100039,2023-05-17,2264,Headphones,5.0,17999,South
100041,2022-06-09,1273,Headphones,1.0,2503,West
100042,2022-05-24,1160,Headphones,3.0,47493,South
100043,2022-04-25,1883,Mouse,5.0,12506,West
100044,2023-09-18,2179,Keyboard,3.0,11496,East
100046,2023-03-15,2760,Headphones,5.0,40886,North
100047,2023-12-10,1714,Monitor,2.0,31595,East
100048,2023-12-18,2904,Laptop,5.0,28838,North
100049,2024-03-19,2087,Mobile,3.0,27557,North
100050,2023-09-28,1291,Mouse,1.0,43930,East
100051,2022-04-18,1431,Headphones,1.0,8530,South
100052,2023-12-10,1570,Laptop,3.0,10940,South
100053,2022-11-21,2956,Headphones,5.0,3175,West
100054,2023-11-12,1914,Headphones,1.0,11629,East
100055,2022-09-25,1132,Keyboard,3.0,13767,North
100056,2023-08-15,1368,Laptop,2.0,2751,North
100057,2022-03-05,1445,Keyboard,4.0,37246,North
100058,2022-02-16,2474,Keyboard,5.0,27216,East
100059,2024-01-14,2317,Headphones,5.0,7442,West
100061,2024-01-17,1113,Keyboard,3.0,13968,North
100062,2024-06-16,1276,Monitor,2.0,7020,West
100063,2023-05-13,2927,Headphones,1.0,19693,South
100064,2023-08-16,2356,Mouse,3.0,48616,North
100065,2022-12-29,1421,Mouse,2.0,43560,West
100066,2022-10-02,2851,Headphones,5.0,12876,North
100067,2023-10-17,2965,Keyboard,2.0,6465,West
100068,2022-01-26,2193,Headphones,5.0,10456,North
100069,2024-04-24,1928,Mobile,3.0,1785,North
100070,2022-03-16,2415,Laptop,4.0,15247,West
100071,2023-06-04,2477,Keyboard,3.0,33534,East
100072,2023-05-23,1263,Keyboard,1.0,13175,South
100073,2022-02-03,1696,Laptop,5.0,21817,West
100074,2023-04-13,2762,Laptop,1.0,967,East
100076,2022-01-25,2617,Mobile,1.0,25252,North
100077,2022-09-16,1050,Headphones,1.0,28575,East
100078,2023-03-23,2722,Mouse,3.0,20901,West
100079,2023-08-12,1852,Keyboard,4.0,31787,North
100081,2023-09-04,1968,Monitor,3.0,29430,West
100082,2023-08-09,1795,Monitor,5.0,46631,South
100083,2022-10-26,2576,Monitor,5.0,10138,West
100084,2022-01-22,1857,Monitor,4.0,2648,West
